question,answer,source,focus_area,q_word_len,a_word_len
How to prevent Parasites - Paragonimiasis (also known as Paragonimus Infection) ?,"Never eat raw freshwater crabs or crayfish. Cook crabs and crayfish for to at least 145°F (~63°C). Travelers should be advised to avoid traditional meals containing undercooked freshwater crustaceans.
    
More on: Fight BAC: Safe Food Handling",CDC,Parasites - Paragonimiasis (also known as Paragonimus Infection),12,36
What causes Cerebrotendinous xanthomatosis ?,What causes cerebrotendinous xanthomatosis? Cerebrotendinous xanthomatosis is caused by mutations in the CYP27A1 gene. This condition is inherited in an autosomal recessive pattern.,GARD,Cerebrotendinous xanthomatosis,5,23
How many people are affected by Joubert syndrome ?,"Joubert syndrome is estimated to affect between 1 in 80,000 and 1 in 100,000 newborns. However, this estimate may be too low because Joubert syndrome has such a large range of possible features and is likely underdiagnosed.",GHR,Joubert syndrome,9,37
What causes Cherubism ?,"How does one get cherubism? What causes cherubism? Genetic changes (mutations) in the SH3BP2 gene cause cherubism. About 80 percent of people with cherubism have a mutation in the SH3BP2 gene. In most of the remaining cases, the genetic cause of the condition is unknown.",GARD,Cherubism,4,45
How many people are affected by spastic paraplegia type 31 ?,"Spastic paraplegia type 31 is one of a subgroup of hereditary spastic paraplegias known as autosomal dominant hereditary spastic paraplegia, which has an estimated prevalence of one to 12 per 100,000 individuals. Spastic paraplegia type 31 accounts for 3 to 9 percent of all autosomal dominant hereditary spastic paraplegia cases.",GHR,spastic paraplegia type 31,11,50
Is hyperferritinemia-cataract syndrome inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",GHR,hyperferritinemia-cataract syndrome,5,26
What is (are) Dry Mouth ?,"For information about the clinical trial on this topic, visit: http://www.clinicaltrials.gov/ct/show/NCT00372320?order=1. If you would like to read an interview with Dr. Bruce Baum, the study's principal investigator, click on: http://www.nidcr.nih.gov/Research/ ResearchResults/InterviewsOHR/TIS032007.htm.",NIHSeniorHealth,Dry Mouth,6,31
How many people are affected by Arts syndrome ?,Arts syndrome appears to be extremely rare. Only a few families with this disorder have been described in the medical literature.,GHR,Arts syndrome,9,21
What are the treatments for Holoprosencephaly ?,There is no standard course of treatment for holoprosencephaly. Treatment is symptomatic and supportive.,NINDS,Holoprosencephaly,7,14
How many people are affected by desmosterolosis ?,The prevalence of desmosterolosis is unknown; at least 10 affected individuals have been described in the scientific literature.,GHR,desmosterolosis,8,18
How to diagnose Catamenial pneumothorax ?,How might catamenial pneumothorax be diagnosed? The diagnosis should be suspected in women of reproductive age who have several episodes of spontaneous lung collapse (pneumothoraces) and have endometriosis. Medical thoracoscopy or video-assisted thoracoscopy may confirm the diagnosis.,GARD,Catamenial pneumothorax,6,37
What is the outlook for Paresthesia ?,The prognosis for those with paresthesia depends on the severity of the sensations and the associated disorders.,NINDS,Paresthesia,7,17
What is the outlook for Periventricular Leukomalacia ?,"The prognosis for individuals with PVL depends upon the severity of the brain damage. Some children exhibit fairly mild symptoms, while others have significant deficits and disabilities.",NINDS,Periventricular Leukomalacia,8,27
How many people are affected by arterial tortuosity syndrome ?,Arterial tortuosity syndrome is a rare disorder; its prevalence is unknown. About 100 cases have been reported in the medical literature.,GHR,arterial tortuosity syndrome,10,21
How many people are affected by Alstrm syndrome ?,More than 900 people with Alstrm syndrome have been reported worldwide.,GHR,Alstrm syndrome,9,11
What is the outlook for Cavernous Malformation ?,"Rebleeding from a cavernous angioma is common, it is not predictable, and individuals frequently have multiple CCMs found via magnetic resonance imaging. Individuals with CCM are faced with a diagnosis that imparts risk of multiple future hemorrhages that occur seemingly at random and without any preventative therapy except surgical removal.",NINDS,Cavernous Malformation,8,50
What are the treatments for Kuru ?,"There were no treatments that could control or cure kuru, other than discouraging the practice of cannibalism. Currently, there are no cures or treatments for any of the other TSE diseases.",NINDS,Kuru,7,31
Is tarsal-carpal coalition syndrome inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",GHR,tarsal-carpal coalition syndrome,6,26
Is protein C deficiency inherited ?,"Protein C deficiency is inherited in an autosomal dominant pattern, which means one altered copy of the PROC gene in each cell is sufficient to cause mild protein C deficiency. Individuals who inherit two altered copies of this gene in each cell have severe protein C deficiency.",GHR,protein C deficiency,6,47
How many people are affected by familial exudative vitreoretinopathy ?,"The prevalence of familial exudative vitreoretinopathy is unknown. It appears to be rare, although affected people with normal vision may never come to medical attention.",GHR,familial exudative vitreoretinopathy,10,25
How many people are affected by Wolfram syndrome ?,"The estimated prevalence of Wolfram syndrome type 1 is 1 in 500,000 people worldwide. Approximately 200 cases have been described in the scientific literature. Only a few families from Jordan have been found to have Wolfram syndrome type 2.",GHR,Wolfram syndrome,9,39
What is (are) Glaucoma ?,"National Eye Institute  National Institutes of Health  2020 Vision Place  Bethesda, MD 20892-3655  301-496-5248  E-mail: 2020@nei.nih.gov  www.nei.nih.gov The Glaucoma Foundation  80 Maiden Lane, Suite 700  New York, NY 10038  212-285-0080 Glaucoma Research Foundation  251 Post Street, Suite 600  San Francisco, CA 94108  1-800-826-6693",NIHSeniorHealth,Glaucoma,5,43
Is Muckle-Wells syndrome inherited ?,"This condition is usually inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. In some cases, the inheritance pattern is unknown.",GHR,Muckle-Wells syndrome,5,35
Is celiac disease inherited ?,"Celiac disease tends to cluster in families. Parents, siblings, or children (first-degree relatives) of people with celiac disease have between a 4 and 15 percent chance of developing the disorder. However, the inheritance pattern is unknown.",GHR,celiac disease,5,36
What is the outlook for Orthostatic Hypotension ?,The prognosis for individuals with orthostatic hypotension depends on the underlying cause of the condition.,NINDS,Orthostatic Hypotension,8,15
What causes Progressive transformation of germinal centers ?,"What causes progressive transformation of germinal centers?  Is it genetic? The cause of progressive transformation of germinal centers (PTGC) is currently unknown.  Also, there is no evidence in the medical literature that PTGC is a genetic condition.",GARD,Progressive transformation of germinal centers,8,37
What are the treatments for Paget's Disease of Bone ?,Yes. Some complications from Paget's disease respond well to surgery. Joint replacement may be helpful in people with severe arthritis of the hip or knee. Surgery can also realign affected leg bones to reduce pain or help broken bones heal in a better position.,NIHSeniorHealth,Paget's Disease of Bone,10,44
What are the treatments for Epidermolysis bullosa acquisita ?,How might epidermolysis bullosa acquisita be treated?,GARD,Epidermolysis bullosa acquisita,9,7
How many people are affected by Nager syndrome ?,"Nager syndrome is a rare condition, although its prevalence is unknown. More than 75 cases have been reported in the medical literature.",GHR,Nager syndrome,9,22
what research (or clinical trials) is being done for Post-Polio Syndrome ?,"The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes of the National Institutes of Health (NIH) conduct research related to PPS in laboratories at the NIH, and also support additional PPS research through grants to major medical institutions across the country.",NINDS,Post-Polio Syndrome,12,44
What causes Megalocytic interstitial nephritis ?,"What causes malakoplakia? The cause of malakoplakia is unknown, but is thought to be associated with immunodeficiency or autoimmune disorders, such as hypogammaglobinlinemia, therapies that suppress the immune system, cancer, a chronic debilitating disorder, rheumatoid arthritis, and AIDS.",GARD,Megalocytic interstitial nephritis,6,38
What is (are) Age-related Macular Degeneration ?,"Wet AMD occurs when abnormal blood vessels behind the retina start to grow under the macula. With wet AMD, loss of central vision can occur quickly. Wet AMD is considered to be advanced AMD and is more severe than the dry form.",NIHSeniorHealth,Age-related Macular Degeneration,7,42
